"","State","Year","Month","avg_temp","max_temp","drought_severity","avg_precip","total_fires","total_acres_burned"
"1","AL",1992,1,44.1,54.3,-0.28,6.12,4,48
"2","AL",1992,2,51.4,63.5,-0.1,5.99,3,239.3
"3","AL",1992,3,54.9,67.8,-0.7,4.03,0,95.2
"4","AL",1992,4,61.5,74.5,-1.12,2.91,1,610.4
"5","AL",1992,5,68,81,-1.6,1.95,2,29.9
"6","AL",1992,8,75.8,85.7,1.49,5.87,0,5.1
"7","AL",1992,9,73.4,83,1.48,3.61,0,0.1
"8","AL",1992,10,61.9,74.4,1.49,2.59,1,3.2
"9","AL",1992,11,52.4,63.2,3.2,9.48,1,34.9
"10","AL",1992,12,47.1,55.9,3.1,5.73,0,12.1
"11","AL",1993,1,48.8,58,3.05,6.21,2,255.6
"12","AL",1993,2,46.2,57.8,-0.4,3.72,10,889.9
"13","AL",1993,3,51.7,63,-0.19,6.59,0,455.8
"14","AL",1993,4,58.7,71.6,-0.47,3.26,2,57.5
"15","AL",1993,6,77.6,89.1,-0.62,3.39,0,7.2
"16","AL",1993,7,82.2,93.8,-1.57,2.88,0,219.9
"17","AL",1993,8,80.1,90.9,-1.55,4.72,0,65.6
"18","AL",1993,9,74,85.9,-1.5,3.83,1,21.1
"19","AL",1993,10,62.8,74.8,0.22,3.71,1,152.3
"20","AL",1993,11,51.7,64.2,0.23,3.88,1,73.5
"21","AL",1993,12,45.3,55.7,0.01,4.29,3,77.5
"22","AL",1994,1,40.8,50.9,0.15,5.31,0,117
"23","AL",1994,2,50.3,62.2,0.05,5.08,3,369.1
"24","AL",1994,3,55.7,69.2,0.27,7.25,12,355.3
"25","AL",1994,4,64.7,78.2,-0.22,4.4,3,343.3
"26","AL",1994,5,68.4,80.6,-0.39,3.2,0,24
"27","AL",1994,6,77.8,87.4,0.96,7,0,44
"28","AL",1994,7,77.6,86.6,2.41,9.43,0,0.1
"29","AL",1994,9,72.2,83.4,1.93,3.61,0,0.2
"30","AL",1994,10,64,73.6,2.52,4.97,0,3
"31","AL",1994,11,58,69.6,-0.12,3.5,2,112.5
"32","AL",1994,12,49.9,59.8,-0.51,3.67,2,24.2
"33","AL",1995,1,45.4,56,-0.54,4.83,4,51
"34","AL",1995,2,47.6,59.2,-0.34,5.65,16,289.1
"35","AL",1995,3,58.2,69.6,-0.65,5.42,17,93.5
"36","AL",1995,4,63.2,76.5,-0.56,5.07,31,3674.5
"37","AL",1995,5,72.1,83.7,-0.87,3.32,8,64
"38","AL",1995,6,75.2,86.7,-0.93,3.36,6,77
"39","AL",1995,7,81.1,92.8,-1.52,3.87,15,139.5
"40","AL",1995,8,81.9,92.2,-1.53,4.79,10,155.1
"41","AL",1995,9,73.7,85.5,-1.68,3.09,11,55.5
"42","AL",1995,11,49.7,61.8,2.63,5.8,4,13.4
"43","AL",1995,12,44.7,55.2,2.44,5.07,6,112
"44","AL",1996,1,43.5,55.4,2.93,7.4,3,10
"45","AL",1996,2,47.3,59.1,2.31,4.07,14,127.8
"46","AL",1996,3,50.9,62.8,2.75,8.45,42,1896.8
"47","AL",1996,4,60,73.7,2.5,4.65,10,139.4
"48","AL",1996,5,73,85.4,1.57,2.56,9,324
"49","AL",1996,6,76.7,87.4,1.1,3.38,3,256
"50","AL",1996,7,79.6,90.2,1.23,6.63,3,2.6
"51","AL",1996,8,77.9,88.1,1.29,4.7,2,240.3
"52","AL",1996,10,62.7,74.6,1.7,2.38,9,27.3
"53","AL",1996,11,52.7,64,1.48,3.46,4,1330
"54","AL",1996,12,49.1,60.6,1.29,4.94,4,106
"55","AL",1997,1,45.9,56,1.57,6.47,3,9
"56","AL",1997,2,50.8,60.8,1.64,6.16,1,10
"57","AL",1997,3,61.2,74,0.6,3.87,19,222.5
"58","AL",1997,4,58.8,71.6,0.98,6.03,4,73.6
"59","AL",1997,5,67.2,79.2,1.48,5.39,6,978.1
"60","AL",1997,7,80.1,90.2,2.6,5.33,1,10
"61","AL",1997,8,77.7,88.4,2.11,2.88,3,1.2
"62","AL",1997,9,74.8,87.2,1.71,3.3,10,135.1
"63","AL",1997,10,63.1,75.8,2.29,5.1,6,10.3
"64","AL",1997,11,50,60.7,2.81,5.7,1,1
"65","AL",1998,2,49.2,59.7,3.43,7.29,16,203.1
"66","AL",1998,3,53.4,64.7,3.09,6.2,32,176.6
"67","AL",1998,4,61.6,73.4,2.94,5.39,10,111.5
"68","AL",1998,5,73.6,86.3,-0.8,2.28,6,35.5
"69","AL",1998,6,80.7,92.3,-1.42,3.22,12,74.7
"70","AL",1998,7,81.8,91.8,-1.47,6.07,2,70.2
"71","AL",1998,8,79.9,91.2,-1.85,3.44,6,260.9
"72","AL",1998,9,77.4,88.2,1.14,8.29,7,79.3
"73","AL",1998,10,66.8,80,-0.4,1.37,12,113.3
"74","AL",1998,11,57.9,69.6,-0.67,3.3,11,122.6
"75","AL",1998,12,51.4,60.8,-0.96,4.27,11,3186
"76","AL",1999,1,49.4,61.3,-0.08,7.94,6,55.6
"77","AL",1999,2,51.8,63.8,-0.93,2.55,11,43.6
"78","AL",1999,3,52.8,66.2,-0.95,5.65,16,258.3
"79","AL",1999,4,67.1,79.2,-1.68,2.57,15,72.2
"80","AL",1999,5,69.5,82.3,-0.04,4.11,3,54.5
"81","AL",1999,6,76.7,86.2,1.45,8.31,1,1
"82","AL",1999,7,80.5,90.5,-0.15,4.63,6,73.6
"83","AL",1999,8,81.8,94.2,-1,2.02,7,182.8
"84","AL",1999,9,73.3,86.8,-1.57,1.91,34,853.8
"85","AL",1999,10,63.6,76.6,-1.33,3.39,6,35
"86","AL",1999,11,56.2,70.1,-1.72,2.61,20,719.7
"87","AL",1999,12,47,59.4,-2.17,3.32,8,141.4
"88","AL",2000,1,46.5,57.1,-2.12,4.69,6,234
"89","AL",2000,2,52.3,66.2,-2.96,1.99,15,828.1
"90","AL",2000,3,58.9,72.1,-3.12,5.05,9,272.5
"91","AL",2000,4,60.1,73.4,-2.73,4.83,8,187.3
"92","AL",2000,5,74,86.3,-3.59,1.32,5,66.5
"93","AL",2000,6,77.6,89.4,-3.6,3.71,5,30
"94","AL",2000,7,81.9,94.9,-4.61,2.26,20,267.9
"95","AL",2000,8,81,93.8,-5.25,2.36,12,399.8
"96","AL",2000,9,73.9,85.2,-4.97,3.49,11,222.7
"97","AL",2000,10,64.6,79.7,-5.29,0.8,9,44.9
"98","AL",2000,11,52.8,63.6,1.1,7.7,3,33.1
"99","AL",2000,12,39.2,49.8,0.92,4.29,1,10
"100","AL",2001,1,41.2,52.5,0.78,4.69,2,44
"101","AL",2001,2,52.6,64.1,0.27,4.11,8,227.3
"102","AL",2001,3,51.4,61.8,1.36,10.11,13,238.7
"103","AL",2001,4,64.7,77,0.86,3.88,7,259.5
"104","AL",2001,5,70.6,83.4,0.73,4.03,12,250.1
"105","AL",2001,7,79.7,90,1.3,3.95,3,14.6
"106","AL",2001,8,78.5,88.1,1.71,5.48,1,0.1
"107","AL",2001,10,60.6,74.4,2.25,3.27,2,0.6
"108","AL",2001,11,58.8,73.6,-0.18,3.43,21,184.8
"109","AL",2001,12,50.6,62,-0.45,4.14,2,21.5
"110","AL",2002,2,46,58.8,-0.99,2.99,13,1140
"111","AL",2002,3,55,68.4,-1.03,5.79,15,979.3
"112","AL",2002,4,66.4,78.1,-1.82,2.19,15,410.3
"113","AL",2002,5,70.2,82.3,-1.75,4.09,4,125.1
"114","AL",2002,6,77.2,88.5,-1.68,3.77,4,374.3
"115","AL",2002,8,79.7,90.8,-1.92,3.24,10,172.6
"116","AL",2002,9,77.3,86.9,0.97,7.57,2,14.2
"117","AL",2002,10,67.8,75.8,1.77,5.58,1,15.2
"118","AL",2002,12,45.2,56.3,2.38,6.54,6,82.4
"119","AL",2003,1,40,51.5,1.38,2.33,89,3926.25
"120","AL",2003,2,48,58.7,1.71,6.76,54,2421.6
"121","AL",2003,3,57.6,68.3,1,4.67,68,2900.45
"122","AL",2003,4,63.3,75.8,1.28,6.41,88,2771.5
"123","AL",2003,5,71.6,81.7,2.54,8.49,6,186.3
"124","AL",2003,6,75.6,85.5,3.75,8.17,4,1289.15
"125","AL",2003,7,78.5,87.8,4.34,7.74,2,38.65
"126","AL",2003,8,79.4,89,4.61,5.7,12,114.7
"127","AL",2003,9,73.1,84.6,4.38,3.7,34,578.77
"128","AL",2003,10,63.5,75.9,-0.13,1.61,62,1502.7
"129","AL",2003,11,58.2,70.9,0.18,4.67,133,3144.5
"130","AL",2003,12,44,56.3,-0.35,3.47,98,1768
"131","AL",2004,1,44.2,55.8,-0.85,3.27,1,2100.22
"132","AL",2004,2,45.4,54.6,-0.16,7.06,5,3547.79
"133","AL",2004,3,59,72.5,-1.36,2.28,39,26413.52
"134","AL",2004,4,61.2,75.2,-1.58,3.37,13,11005.5
"135","AL",2004,5,72.7,84.1,-1.59,4,0,717.6
"136","AL",2004,6,76.8,85.7,1.19,7.53,2,260.25
"137","AL",2004,7,79.2,89.5,0.95,4.43,0,126.65
"138","AL",2004,8,76.3,87,1.21,4.48,10,489.76
"139","AL",2004,9,73.8,83.8,2.1,6.63,2,631.7
"140","AL",2004,10,68.5,78.4,2.37,3.87,1,567.6
"141","AL",2004,11,57.8,67.5,3.46,8.12,0,371.8
"142","AL",2004,12,45.1,56.8,3.12,4.84,1,620.65
"143","AL",2005,1,49.2,60.4,2.03,2.86,6,5107.55
"144","AL",2005,2,51.2,61.6,1.69,4.96,0,4316.36
"145","AL",2005,3,53.5,65.4,1.43,5.85,8,11171.34
"146","AL",2005,4,61,74.2,2.07,7.6,5,3933.9
"147","AL",2005,5,68.3,81.2,1.53,2.8,2,1560.9
"148","AL",2005,6,76.7,86.6,2.17,6.37,1,112.12
"149","AL",2005,7,80.4,89.5,3.23,9.19,0,50.53
"150","AL",2005,8,80.5,90,3.65,6.01,1,255.2
"151","AL",2005,9,76.9,88.7,-0.05,3.29,1,6368.1
"152","AL",2005,10,63.8,76.5,-0.58,0.61,6,3399.05
"153","AL",2005,11,55.8,68.9,-0.67,3.59,15,5264.75
"154","AL",2005,12,43.4,55.4,-0.85,3.95,1,1594.17
"155","AL",2006,1,51.1,63.1,-0.85,5.23,5,4703.9
"156","AL",2006,2,46.1,57.3,-0.76,5.05,5,4298.4
"157","AL",2006,3,56.1,69.2,-1.62,2.97,57,30759.55
"158","AL",2006,4,67.5,81.2,-2.16,3.07,20,9396.55
"159","AL",2006,5,70.4,82.4,-1.87,4.41,4,1292.42
"160","AL",2006,6,78.1,91.4,-2.39,2.01,22,7923.25
"161","AL",2006,7,81.9,93.9,-3.12,3.33,26,7252
"162","AL",2006,8,82.3,93.6,-3.37,3.91,8,3540.35
"163","AL",2006,9,72.8,84.8,-3.19,3.53,2,1593.3
"164","AL",2006,10,61.9,75,-2.18,5.13,3,2217.9
"165","AL",2006,11,52.8,65.8,-1.6,4.84,3,870.45
"166","AL",2006,12,49.4,61.8,-1.73,4.06,6,5019.05
"167","AL",2007,1,46.7,57,-1.8,4.34,4,1036.5
"168","AL",2007,2,44.8,57.6,-2.31,2.64,20,5752.9
"169","AL",2007,3,60,74.6,-3.52,1.56,69,23014.22
"170","AL",2007,4,60,73.2,-3.4,3.91,19,5332.26
"171","AL",2007,5,71.2,85.3,-4.23,0.73,35,7091.31
"172","AL",2007,6,78.8,91.8,-4.57,2.78,24,4589.91
"173","AL",2007,7,79.2,89.3,-4.4,5.2,9,873.12
"174","AL",2007,8,84.4,96.8,-5.05,2.67,24,3627.87
"175","AL",2007,9,76,87.5,-5.02,3.11,5,1763.8
"176","AL",2007,10,66.5,78.3,-4.4,3.92,7,2483.4
"177","AL",2007,11,53.6,67.4,-4.36,2.75,1,645.6
"178","AL",2007,12,51.6,62.6,-4.37,4.25,4,504.4
"179","AL",2008,1,43,53.9,-4.19,4.09,72,598.9
"180","AL",2008,2,49.2,62.2,-3.61,5.79,165,2835.5
"181","AL",2008,3,55.2,69.1,-3.86,4.01,306,7505.25
"182","AL",2008,4,62.8,75,-3.58,4.53,100,1180.6
"183","AL",2008,5,70.3,82.1,-3.1,4.43,58,518.4
"184","AL",2008,6,78.7,90.6,-3.29,2.69,114,2504.15
"185","AL",2008,7,80,91.6,-3.54,4.04,105,1564.53
"186","AL",2008,8,78.4,88.3,1.52,8.89,60,928.05
"187","AL",2008,9,74.5,84.8,0.82,1.65,77,827.95
"188","AL",2008,10,62.2,74.3,0.91,3.02,86,1087.45
"189","AL",2008,11,51,64.5,0.69,3.15,164,2848.36
"190","AL",2008,12,49.7,60.3,1.07,6.78,52,797.75
"191","AL",2009,1,45.3,56.7,0.76,4.42,64,1203.95
"192","AL",2009,2,48.2,61.5,0.28,3.85,215,6385.49
"193","AL",2009,3,57.3,68.9,0.89,8.98,252,9213.84
"194","AL",2009,4,61.4,74.2,0.72,4.45,91,2811.6
"195","AL",2009,5,71.2,80.3,2.07,8.51,15,408.2
"196","AL",2009,6,79.4,90.7,1.31,2.71,79,3355.46
"197","AL",2009,7,78.1,88.9,1.23,5.59,98,1159.18
"198","AL",2009,8,78,87.8,1.56,5.49,14,171.25
"199","AL",2009,9,75,83.5,2.58,7.57,5,15.25
"200","AL",2009,10,62.8,72.8,4,7.18,1,11
"201","AL",2009,11,53.4,65.7,3.9,4.39,2,12.5
"202","AL",2010,1,40,50.8,5.04,6.21,6,74.7
"203","AL",2010,3,51.2,62.6,-0.37,5.07,4,71.7
"204","AL",2010,4,64.2,78.6,-0.96,2.82,10,250.75
"205","AL",2010,5,73.3,84.3,-0.35,6.15,3,775.45
"206","AL",2010,6,80.9,91.6,-0.78,3.26,0,434.07
"207","AL",2010,7,82.6,93.2,-1.61,3.5,3,1240.77
"208","AL",2010,8,83,93.3,-1.71,4.83,4,1707.4
"209","AL",2010,9,76.9,90.6,-2.51,1.61,14,7767.25000000001
"210","AL",2010,10,64.3,80.1,-2.47,2.59,18,10213.3
"211","AL",2010,11,55.2,68.1,-2.1,4.73,8,2208.82
"212","AL",2010,12,40.3,51.8,-2.67,2.2,2,1829.72
"213","AL",2011,1,41.1,52,-2.65,4.03,137,1554.95
"214","AL",2011,2,49.5,61.8,-2.91,3.49,435,15021.1
"215","AL",2011,3,57.8,69.9,-2.2,8.18,303,9225.9
"216","AL",2011,4,65.7,78.8,-2.06,5.08,117,2094
"217","AL",2011,5,69.9,83,-2.64,1.64,176,3361.77
"218","AL",2011,6,81.2,94,-2.99,3.55,273,11188.48
"219","AL",2011,7,81.7,91.9,-3.02,5.52,82,2791.06
"220","AL",2011,8,81.8,94.2,-3.87,2.05,143,2380.97
"221","AL",2011,9,72.1,83.4,-2.44,7.21,75,759
"222","AL",2011,10,60.6,74.6,-2.6,0.79,123,864.2
"223","AL",2011,11,55.3,67.5,-2.32,4.13,120,3795.4
"224","AL",2011,12,49.3,60.2,-2.13,5.04,38,774.25
"225","AL",2012,1,50.1,62.3,-1.9,5.44,156,1567
"226","AL",2012,2,52.1,62.3,-2.01,4.49,130,3577
"227","AL",2012,3,64.6,76.3,-2.41,5.35,331,6078.4
"228","AL",2012,4,65,77.6,-3.08,1.89,153,1953.35
"229","AL",2012,5,73.4,85.3,-3.05,4.16,108,2633.57
"230","AL",2012,6,76.8,88.4,-2.8,4,158,2524.92
"231","AL",2012,7,81.6,92.3,-2.64,5.75,170,3271.02
"232","AL",2012,8,78.1,87.9,0.64,6.07,35,385
"233","AL",2012,9,73,84.1,1.16,5.35,40,396.5
"234","AL",2012,10,62.2,74.4,1.29,2.91,97,1285.85
"235","AL",2012,11,51.2,65.5,0.52,1.36,208,2967.85
"236","AL",2012,12,50.9,61.8,0.82,6.61,108,2066
"237","AL",2013,1,50,59.9,1,6.27,85,963.68
"238","AL",2013,2,48,58.9,1.99,8.86,119,1860.28
"239","AL",2013,3,49.8,62.3,1.26,3.83,623,16257.57
"240","AL",2013,4,62.2,74.3,1.36,5.71,143,3124.57
"241","AL",2013,5,68.2,79.6,1.3,4,92,844.82
"242","AL",2013,6,78,87.7,1.73,5.81,30,219.01
"243","AL",2013,7,77.7,86.1,2.87,8.7,12,10.5
"244","AL",2013,8,77.9,87.1,3.3,5.5,14,62.6
"245","AL",2013,9,75,86.1,2.97,3.2,73,584
"246","AL",2013,10,64.9,76.3,2.4,1.47,76,538.3
"247","AL",2013,11,51.6,63.3,2.11,3.42,232,3797.49999999999
"248","AL",2013,12,47.9,58.2,2.72,7.93,72,903.78
"249","AL",2014,1,37.3,49.8,1.82,2.7,379,7958.3
"250","AL",2014,2,47.3,58.7,1.82,5.75,166,1921.3
"251","AL",2014,3,52.3,65,1.51,5.57,449,9504.87000000004
"252","AL",2014,4,62.4,74.8,2.64,9.67,167,5698.63000000001
"253","AL",2014,5,70.2,82.2,2.44,4.27,74,964.200000000001
"254","AL",2014,6,77.9,87.8,2.56,5.23,19,105.7
"255","AL",2014,7,77.8,88.4,-0.4,3.36,57,496.135
"256","AL",2014,8,79.5,91.1,-0.72,3.25,133,1846.35
"257","AL",2014,9,76.3,87,-1.23,2.51,124,1361.15
"258","AL",2014,10,65.2,78.4,-0.73,4.38,195,2000.74
"259","AL",2014,11,48.2,61.2,-0.8,2.98,314,2660.00999999999
"260","AL",2014,12,50,60.2,-0.42,6.36,231,2555.86
"261","AL",2015,1,43.6,54.6,-0.57,4.34,280,2796.00999999999
"262","AL",2015,2,41.3,52.6,-0.74,4.05,541,10071.11
"263","AL",2015,3,57.8,68.8,-1.3,4.28,192,3258.68
"264","AL",2015,4,66,76.6,-0.7,7.14,75,925.7
"265","AL",2015,5,71.8,83.7,-0.64,4.32,109,1280.8
"266","AL",2015,6,78.8,89.5,-0.91,3.27,88,1209.25
"267","AL",2015,7,81.6,91.9,-1.26,4.71,60,603.75
"268","AL",2015,8,79,89.8,-0.99,4.94,114,1200.95
"269","AL",2015,9,74.4,85.1,-1.3,2.71,130,3263.05
"270","AL",2015,10,65,76.6,-1.24,2.93,264,2399.77
"271","AL",2015,11,59.2,69.3,0.68,6.8,81,435.02
"272","AL",2015,12,56.9,66.8,2.33,11.87,54,794.800000000001
"273","AL",2016,1,43,53.5,-0.27,4.06,32,118.83
"274","AL",2016,2,49.8,61.4,-0.09,5.85,218,4623.75
"275","AL",2016,3,59.7,71.4,-0.48,5.42,260,5716.88
"276","AL",2016,4,63.6,75.9,-0.27,5.68,112,1412.95
"277","AL",2016,5,70.2,82,-0.88,2.14,111,898.59
"278","AL",2016,6,79.2,91,-1.1,3.81,181,1824.02
"279","AL",2016,7,82,92.8,-1.67,4.27,138,1752.59
"280","AL",2016,8,81.6,91.4,-1.76,4.58,54,391.51
"281","AL",2016,9,78.6,90.8,-2.6,1.72,341,4034.67
"282","AL",2016,10,68.5,83.3,-3.51,0.13,1194,12821.46
"283","AL",2016,11,57.8,73,-3.88,2.3,987,12673.95
"284","AL",2016,12,50.1,60.6,-3.79,5.05,130,3140.72
"285","AL",2017,1,52.4,62.9,-2.36,9.17,139,1183.31
"286","AL",2017,2,55.6,67.8,-2.75,3.7,219,4097.63
"287","AL",2017,3,58.4,70.7,-3.15,4.17,342,7230.2
"288","AL",2017,4,67.2,80.3,-3.24,4.09,245,5306.35
"289","AL",2017,5,69.9,81.9,0.99,7.01,55,429.38
"290","AL",2017,6,75.8,84.9,3.21,10.7,18,82.4
"291","AL",2017,7,80.6,90.7,2.86,5.06,10,124.99
"292","AL",2017,8,78.8,88,3.36,6.07,25,48.7
"293","AL",2017,9,73.4,84.5,3.04,3.25,31,235
"294","AL",2017,10,65.8,77.2,3.83,6.03,53,372.2
"295","AL",2017,11,55.6,68.1,2.63,1.05,60,413.05
"296","AL",2017,12,46.9,56.8,2.06,3.89,38,169.35
"297","AL",2018,1,40.4,51.8,1.09,2.32,151,1461.75
"298","AL",2018,2,58,68.1,1.33,7.27,89,1167.07
"299","AL",2018,3,55.4,67.4,0.6,4.14,191,3626.82
"300","AL",2018,4,59.5,72.8,0.93,5.94,129,2332.4
"301","AL",2018,5,74.4,86.1,1.07,5.52,98,1491.53
"302","AL",2018,6,79.3,89.8,1.04,4.58,20,57.3
"303","AL",2018,7,80.7,90.6,0.58,4.46,24,220.4
"304","AL",2018,8,79.5,89.6,0.74,5.03,41,147.55
"305","AL",2018,9,79.4,89.2,1.17,6.21,68,393.35
"306","AL",2018,10,67.4,78.2,0.97,2.69,36,123.41
"307","AL",2018,11,50.4,60.7,1.71,6.29,11,45.1
"308","AL",2018,12,49,58,2.92,9.95,26,123.35
"309","AZ",1992,1,39.6,51,0.98,1.32,8,595.2
"310","AZ",1992,2,47.1,58.2,1.46,1.93,7,23.5
"311","AZ",1992,3,50.2,62,2.56,2.91,6,57.6
"312","AZ",1992,4,61.2,76.8,2.59,0.36,176,3056.5
"313","AZ",1992,5,66.7,80.4,4.22,1.64,371,4822.69999999999
"314","AZ",1992,6,73.5,89.4,4.91,0.21,265,19802.0500000001
"315","AZ",1992,7,78.1,92.2,4.79,1.72,184,10551.18
"316","AZ",1992,8,77.5,90.9,5.27,3.25,200,1463.7
"317","AZ",1992,9,73.3,88.4,4.16,0.53,99,1068.35
"318","AZ",1992,10,63.8,78.8,3.62,0.91,54,564.970000000001
"319","AZ",1992,11,45.7,59.4,2.85,0.14,33,306.25
"320","AZ",1992,12,38.4,49.1,3.92,3.23,6,203.05
"321","AZ",1993,1,43.5,52.8,6.41,5.22,3,11.3
"322","AZ",1993,2,44.5,54.6,7.61,3.17,10,4
"323","AZ",1993,3,51.8,65.6,7,1.15,16,1805.7
"324","AZ",1993,4,58.6,74.3,6.42,0.05,153,3406.85
"325","AZ",1993,5,67.3,83,6.98,0.41,636,32914.14
"326","AZ",1993,6,74.2,91,7.01,0.14,617,109482.78
"327","AZ",1993,7,78.3,93.2,-0.96,0.35,332,17395.8
"328","AZ",1993,8,77.5,90.9,-0.25,2.88,364,35971.51
"329","AZ",1993,9,71.8,87.6,-0.92,0.35,76,1277.49
"330","AZ",1993,10,61,74.9,0.27,1.24,45,1556.75
"331","AZ",1993,11,47.2,60.5,0.84,1.52,11,1147.47
"332","AZ",1993,12,41.9,55.5,-0.52,0.29,5,566.88
"333","AZ",1994,1,43.2,57.9,-1.16,0.23,25,937.95
"334","AZ",1994,2,43.3,56.3,-0.98,1.24,19,1211.66
"335","AZ",1994,3,52.9,66.8,-0.96,1.24,29,2144.39
"336","AZ",1994,4,58.2,73.1,-0.91,0.61,124,6902.5
"337","AZ",1994,5,65.2,80.6,-1.13,0.59,365,10512.76
"338","AZ",1994,6,79.2,95.7,-1.73,0.23,346,55911.325
"339","AZ",1994,7,81.3,96.5,-2.45,0.94,361,115733.650000002
"340","AZ",1994,8,81.3,95.1,-2.77,1.62,248,22701.45
"341","AZ",1994,9,73.7,88,0.09,1.4,72,5346.74999999999
"342","AZ",1994,10,59.6,74,0.14,0.92,24,2383.3
"343","AZ",1994,11,45.5,58.2,0.64,1.33,8,299.2
"344","AZ",1994,12,43.2,54.6,1.16,2.1,5,44.4
"345","AZ",1995,1,42.1,52.1,2.03,2.43,10,3.7
"346","AZ",1995,2,50.9,64,2.05,1.47,11,5.5
"347","AZ",1995,3,51.3,64.3,2.18,1.52,22,43.75
"348","AZ",1995,4,54.9,69.4,2.43,0.63,207,2884.43
"349","AZ",1995,5,61.7,76.1,3.01,0.43,517,10942.2
"350","AZ",1995,6,72.1,88.6,3.59,0.13,869,50695.1499999999
"351","AZ",1995,7,80.3,96,-0.63,0.6,852,117363.7
"352","AZ",1995,8,81.4,95.2,-0.81,1.98,679,68860.5499999995
"353","AZ",1995,9,74.6,88.9,-0.75,1.3,312,2921.75
"354","AZ",1995,10,63.1,80,-1.45,0.08,162,2405.9
"355","AZ",1995,11,55,69.9,-1.78,0.58,54,3257.8
"356","AZ",1995,12,44.7,58.1,-2.3,0.29,43,752.15
"357","AZ",1996,1,44.2,58.6,-2.92,0.2,44,455.55
"358","AZ",1996,2,50.1,62.8,-3.13,1.08,30,139.4
"359","AZ",1996,3,51.9,66.6,-3.63,0.37,87,1051.705
"360","AZ",1996,4,59.9,76.2,-4.36,0.06,257,7877.35000000002
"361","AZ",1996,5,69.6,86.4,-4.96,0.09,295,76074.1500000007
"362","AZ",1996,6,78,94.8,-5.28,0.26,477,15550.1000000001
"363","AZ",1996,7,82.3,96.2,-5.03,1.7,997,77770.3000000015
"364","AZ",1996,8,80.2,94.1,-5.19,1.39,569,7394.21000000002
"365","AZ",1996,9,70.3,83.6,-4.04,1.86,213,487.150000000001
"366","AZ",1996,10,60.8,75.2,-3.75,0.75,90,427.2
"367","AZ",1996,11,51,64.6,-3.49,0.79,28,34.05
"368","AZ",1996,12,44.2,57.3,-3.87,0.19,22,35.3
"369","AZ",1997,1,42,52.7,-3.09,1.89,15,3.7
"370","AZ",1997,2,44.7,58.2,-2.91,0.91,18,9.7
"371","AZ",1997,3,55,71.2,-3.52,0.11,46,230.9
"372","AZ",1997,4,56.2,70.1,-3.35,0.76,77,842.8
"373","AZ",1997,5,70.5,86.4,-3.55,0.37,481,2464.8
"374","AZ",1997,6,73.8,89.9,-3.68,0.25,386,1241.7
"375","AZ",1997,7,79.4,94.9,-4.22,0.82,638,3122.49999999998
"376","AZ",1997,8,79.1,92.3,0.01,2.26,346,1653
"377","AZ",1997,9,75,87.9,0.7,2.18,130,905.200000000001
"378","AZ",1997,10,60.2,75,0.48,0.7,57,257.6
"379","AZ",1997,11,51,64.7,0.15,0.59,32,295.8
"380","AZ",1997,12,39.4,50.8,0.61,1.87,3,1
"381","AZ",1998,1,43.8,56.5,0.12,0.55,11,8.1
"382","AZ",1998,2,42,52.4,1.54,3.06,7,1.6
"383","AZ",1998,3,49,62.3,2.05,1.9,12,9
"384","AZ",1998,4,52.7,67,2.35,0.63,92,44.3
"385","AZ",1998,5,63,78.6,2.93,0.26,608,1371.4
"386","AZ",1998,6,71.8,88.5,3.43,0.07,686,5601.59999999998
"387","AZ",1998,7,81.2,95.5,3.94,2.35,660,5604.49999999998
"388","AZ",1998,8,80.4,94.3,-0.4,1.6,364,5444.2
"389","AZ",1998,9,73.6,87.4,0.16,1.44,95,3123.2
"390","AZ",1998,10,60.5,75.1,0.45,1.26,86,660.400000000001
"391","AZ",1998,11,50.6,64.9,0.41,0.93,22,460.1
"392","AZ",1998,12,42.7,55.9,-0.56,0.39,14,12.6
"393","AZ",1999,1,45.4,59.8,-1.46,0.14,77,118.7
"394","AZ",1999,2,48,63.2,-2.16,0.36,71,151.4
"395","AZ",1999,3,53,68.8,-2.98,0.19,141,1981
"396","AZ",1999,4,53.2,67.3,-2.37,1.37,88,1149.8
"397","AZ",1999,5,65.3,81.2,-2.89,0.17,344,3638.19999999999
"398","AZ",1999,6,74.5,90.5,-3.19,0.36,588,50018.8000000001
"399","AZ",1999,7,78.3,90.6,1.36,3.39,388,529.100000000002
"400","AZ",1999,8,77.8,91.2,1.53,2.55,203,1828.5
"401","AZ",1999,9,72.6,86.7,1.84,1.8,140,297.2
"402","AZ",1999,10,64.2,81.3,-0.9,0,75,370.5
"403","AZ",1999,11,55.1,71.6,-1.73,0,90,688.6
"404","AZ",1999,12,42,56,-2.32,0.04,69,520
"405","AZ",2000,1,45.8,59.8,-2.97,0.28,61,314.4
"406","AZ",2000,2,48.4,62.3,-3.4,0.59,90,1043.9
"407","AZ",2000,3,50.5,64.1,-2.97,1.73,67,411.8
"408","AZ",2000,4,61.9,78.3,-3.54,0.11,168,8788.89999999999
"409","AZ",2000,5,71.2,88.2,-4.35,0.02,263,13115.9
"410","AZ",2000,6,77.8,93.2,-4.31,0.73,578,23858.9999999998
"411","AZ",2000,7,81.5,96.4,-5.15,0.53,580,4839.4
"412","AZ",2000,8,79.4,92.7,-4.49,2.45,1194,30130.0999999996
"413","AZ",2000,9,74.9,90.2,-5.01,0.19,188,653.300000000002
